LAMMPS (15 May 2015)
Reading data file ...
  triclinic box = (-0.107635 -0.0404339 -0.357111) to (41.3876 35.9384 29.5551) with tilt (-0.0672341 -17.0362 -0.0417078)
  5 by 4 by 3 MPI processor grid
  reading atoms ...
  4560 atoms
  reading velocities ...
  4560 velocities
  scanning bonds ...
  3 = max bonds/atom
  scanning angles ...
  3 = max angles/atom
  scanning dihedrals ...
  8 = max dihedrals/atom
  scanning impropers ...
  1 = max impropers/atom
  reading bonds ...
  5040 bonds
  reading angles ...
  7200 angles
  reading dihedrals ...
  10560 dihedrals
  reading impropers ...
  2400 impropers
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0         
 Special bond factors coul: 0          0          0         
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
4560 atoms in group all
720 atoms in group C
480 atoms in group S
1920 atoms in group H
720 atoms in group Si
240 atoms in group Na
240 atoms in group Ba
240 atoms in group O
4560 atoms in group naphthalene
1200 atoms in group fixed
960 atoms in group CO
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  1920 settings made for charge
Setting atom values ...
  480 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0.5       
 Special bond factors coul: 0          0          0.5       
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
PPPM initialization ...
  G vector (1/distance) = 0.253736
  grid = 12 12 15
  stencil order = 5
  estimated absolute RMS force accuracy = 1.98714e-05
  estimated relative force accuracy = 5.98421e-08
  using double precision FFTs
  3d grid and FFT values/proc = 864 48
Neighbor list info ...
  6 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 12
Setting up run ...
Memory usage per processor = 14.0371 Mbytes
Step Temp Density PotEng E_vdwl E_tail E_coul E_long Press Volume Xy Xz Yz E_mol E_bond E_angle E_dihed 14[1] 14[2] 14[3] msd[4] msd2[4] msd3[4] msd4[4] naphthal Cella Cellb Cellc CellAlpha CellBeta CellGamma 2 27[1] 27[2] 27[3] 
       0          298    1.2509986    3498.5987            0            0    2.0907137   -2.3250012    -15873.64    44657.537 -0.067234084   -17.036218 -0.041707817     3498.833    1521.0094     935.4334    889.67826    28.379601    18.846571    14.337846 2.3535127e-29 2.3910021e-29 2.2534249e-29 2.2900766e-29          298     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069 7.2177013e-23    28.379761    18.846182    14.337739 
   10000    298.80401    1.2509986    3636.5929            0            0    2.1058464   -2.3240569    -9263.561    44657.537 -0.067234084   -17.036218 -0.041707817    3636.8111    1512.7411    987.32504    973.27758    28.380319    18.844137    14.337838 0.00031082753 0.00031057479 0.00032083895 0.00032067544    298.80401     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    932.48259    28.379824    18.845875    14.338132 
   20000    299.14987    1.2509986    3626.2089            0            0    2.0997704   -2.3247858   -7915.9629    44657.537 -0.067234084   -17.036218 -0.041707817    3626.4339    1557.9811    970.42813    933.75285    28.378738    18.845614    14.337227 0.00032263345 0.00032225539 0.00033076814 0.00033043653    299.14987     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    967.90034     28.37925    18.845851    14.337655 
   30000    303.98191    1.2509986    3546.0421            0            0    2.1046042   -2.3244165   -8005.6763    44657.537 -0.067234084   -17.036218 -0.041707817     3546.262    1480.2089    1004.4631    901.60512    28.379182    18.844395    14.336948 0.00032432162 0.00032367563  0.000326826 0.00032654359    303.98191     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    972.96485    28.379593    18.845448    14.337458 
   40000    298.60876    1.2509986    3630.9052            0            0    2.1031669   -2.3244117   -8297.2677    44657.537 -0.067234084   -17.036218 -0.041707817    3631.1264    1561.7616    950.96969    950.03407    28.379144    18.846037    14.337043 0.00032534995 0.00032483205 0.00032821869 0.00032779146    298.60876     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    976.04985    28.380451     18.84617    14.337944 
   50000    301.39889    1.2509986    3568.1999            0            0    2.1031654   -2.3244194   -8847.9855    44657.537 -0.067234084   -17.036218 -0.041707817    3568.4211    1493.5478    990.74418    924.21114    28.380904    18.844418    14.338392 0.0003317002 0.00033111277 0.00033743905 0.00033714058    301.39889     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     995.1006    28.379843    18.845421    14.337711 
   60000    300.51521    1.2509986    3514.6513            0            0    2.1016139   -2.3245635   -8886.8821    44657.537 -0.067234084   -17.036218 -0.041707817    3514.8743    1497.2873    954.29787    906.61972    28.377373    18.846599    14.336018 0.00033419392 0.00033396271 0.00034003284 0.00033981498    300.51521     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1002.5818    28.379694    18.846515    14.337399 
   70000    299.63741    1.2509986    3508.0047            0            0    2.1012949   -2.3250074   -6506.3217    44657.537 -0.067234084   -17.036218 -0.041707817    3508.2284      1464.61    973.81613    911.58114     28.38069    18.845326    14.337721 0.00033921546 0.00033910824 0.00034631727 0.00034629641    299.63741     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1017.6464    28.379912    18.846249    14.337456 
   80000    293.07298    1.2509986    3591.8773            0            0    2.1004721   -2.3247412   -8806.3241    44657.537 -0.067234084   -17.036218 -0.041707817    3592.1015    1520.8289    974.64006    934.68438    28.379261    18.846052    14.336887 0.00032374464 0.00032353939 0.00032951162 0.0003292874    293.07298     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    971.23393      28.3799    18.846366    14.337349 
   90000     301.9971    1.2509986    3637.6947            0            0    2.1026087   -2.3244035   -9007.0584    44657.537 -0.067234084   -17.036218 -0.041707817    3637.9165    1554.0325    1018.3884    906.82401    28.380302    18.845109    14.336755 0.00032695489 0.00032675784 0.00033941991 0.00033901539     301.9971     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    980.86467    28.379547     18.84613    14.337354 
